Features	Class
"[-1.94963577e+02  1.65816849e+02 -2.32828941e+01  4.33662653e+00
 -2.04308968e+01  9.15696526e+00 -1.44309435e+01  4.63588089e-01
  2.96770382e+00 -6.28049088e+00  6.16305923e+00 -1.19020844e+00
  8.90682888e+00 -1.61783242e+00  5.61676073e+00  1.17269096e+01
  1.21079035e+01  6.55459595e+00  6.29951775e-01  8.18206215e+00
  1.53524053e+00  5.30259418e+00  4.05654764e+00  3.63107657e+00
  4.19254351e+00  2.22120905e+00  2.96386027e+00  1.25085354e+00
  2.08613610e+00 -1.89353979e+00  7.92619586e-01  5.38549066e-01
  7.83687383e-02  9.66946304e-01 -4.71474767e-01  1.88844597e+00
 -6.38977051e-01 -9.82649505e-01  7.67112494e-01  6.65548980e-01]"	dog
"[-224.63824     136.61905     -50.536907     18.661768     -9.823926
   22.77843       1.5656424     4.2058496    13.347799     -1.0373939
    6.724617     -3.101578      4.3993177    -2.4891028     2.7967918
    4.1337733     3.6418314     4.319637     -2.4286873     5.7705636
   -0.2922449     2.6016896     2.6145523     1.6947918     5.143069
    1.9867054     2.6618268    -0.63609296    1.384133      0.681707
    1.0686998     0.7516761     0.76042235    1.9544069    -1.1874412
    1.2819128    -0.7638266    -1.0709113    -1.4854479    -2.6027102 ]"	cat
"[-3.39816223e+02  1.54513794e+02 -6.96097851e+00  1.79484329e+01
  3.68406987e+00  2.34018936e+01  7.15764666e+00  7.32516241e+00
  7.66069555e+00 -3.79640907e-01  4.74273539e+00 -4.61176348e+00
  3.06826258e+00  1.09268475e+00  3.12995696e+00  2.07177997e+00
  2.02678800e+00  3.82378125e+00 -1.59304783e-01  3.50985289e+00
 -6.06225133e-01  2.40864992e+00  1.43189251e+00  9.55046177e-01
  2.12955832e+00  4.49439049e-01  3.17413878e+00  4.40090716e-01
  2.87137461e+00  2.95603728e+00  2.26527357e+00  1.68942261e+00
  9.61465597e-01  1.91897678e+00 -1.25865385e-01  1.21327436e+00
  9.74792540e-02  1.01866126e-01 -7.40139186e-02 -2.37227246e-01]"	cat
"[-3.3953055e+02  1.5363026e+02 -4.4811001e+01 -2.5304592e+01
 -1.4835530e+01 -1.3177110e+01 -1.9892668e+01 -1.3730272e+01
 -1.3354481e+01 -8.0991249e+00  6.6620922e+00  8.7817945e+00
 -1.5288562e+01 -3.2953482e+00  2.5947613e+01 -1.5749193e+01
 -1.7003971e+01 -1.4970905e+00 -1.0168596e+01  4.5985785e+00
  8.1413622e+00  2.8916733e+00  3.1036494e+00  1.3315684e+01
  1.3304470e+01  6.2387519e+00  4.1187148e+00  1.5232764e+01
  1.6534435e+01  1.3406514e+00  4.3308902e+00 -2.6994691e+00
 -2.4882350e+00  2.9188137e+00 -2.9303296e+00  4.6375909e-01
  3.3366066e-01 -1.1204838e+00 -2.1175392e+00 -1.8274072e+00]"	dog
"[-2.2272768e+02  9.6777237e+01 -4.7320232e+01  7.8442703e+01
 -1.6049047e+01  3.0260523e+01 -1.0178112e+01  2.4308403e+01
  2.3749850e+00 -1.1934774e+01  1.4753519e+01 -1.4362097e+00
  3.0864456e+01  1.0332353e+01  2.5150999e+01  1.2166815e+01
 -1.8909229e+01 -1.0214958e+01  1.8165707e+01  7.2126670e+00
 -1.9193485e+01  3.4098001e+00 -3.7345493e+00  3.1802535e+00
  1.0237912e+01  9.5244074e+00  4.3091621e+00  3.8653610e+00
  5.3006463e+00 -1.1802538e+01 -7.5043356e-01  2.0318826e-01
 -4.2629056e+00 -2.3179028e+00  4.0003508e-01 -1.1323396e+00
  1.4929312e+00  8.1751385e+00 -1.4327283e+00  2.1807313e+00]"	cat
"[-3.0126416e+02  1.4141965e+02 -6.8832405e+01 -2.4209978e+01
 -2.4387116e+00 -2.7638075e+01 -2.8288948e+01  1.2891223e+00
  4.6037772e-01  1.0328487e+01  1.2314673e+01 -2.1458957e+00
  2.9602394e+00 -9.3686638e+00 -1.9071352e+01 -1.2544623e+01
 -2.9627404e+00 -1.2156145e+01 -1.4933937e+00  1.4689000e+01
  1.4227105e+01  2.6621099e+01  1.5217236e+01  9.0578213e+00
  3.9321318e+00 -1.1083825e+01 -5.5656462e+00  1.1381567e+00
  4.1766381e+00 -2.8489838e+00 -5.3892221e+00  1.8949916e+00
  4.5057955e+00  7.2060623e+00  7.2064853e+00  3.5017576e+00
  3.5822313e+00  4.2665787e+00 -2.1133460e-01 -4.0299100e-01]"	dog
"[-3.6831531e+02  1.0579953e+02  1.0813345e+01  5.3376125e+01
 -2.5480175e+00  2.6822439e+01  8.5430031e+00  7.6454310e+00
  6.8935890e+00 -3.8860755e+00  8.3205729e+00  5.1962953e+00
  6.1304312e+00 -7.1738520e+00  9.0586195e+00  2.9644475e+00
 -2.3690236e+00  1.1777138e+01  3.3541167e+00  4.3680925e+00
  2.6616743e-02  1.4792774e+00  2.2336035e+00 -7.6252800e-01
 -1.7310604e-02  1.3518224e+00  1.7981744e+00 -9.8888665e-01
  2.0619767e+00 -2.4283154e-01 -3.9257357e-01  1.6504480e+00
  7.8957516e-01  8.4838098e-01  4.9104893e-01 -9.5366830e-01
 -7.4578442e-02  1.7043066e+00 -1.0526953e+00  2.2800303e-01]"	cat
"[-3.7077914e+02  1.1868660e+02  1.1756331e+01  1.6133364e+01
  1.6906677e+01 -1.2994348e+00 -6.9043832e+00 -3.2469623e+00
 -1.2715161e+01 -1.2696933e+01 -1.3993818e+00 -9.4717798e+00
 -1.1930003e+01 -6.9457121e+00 -9.8737087e+00 -8.9299994e+00
 -5.4529104e+00 -6.4073758e+00 -8.0498104e+00 -8.2287712e+00
 -6.0715308e+00 -5.7961082e+00 -7.0126038e+00 -3.7954407e+00
 -5.5182261e+00 -6.6121559e+00 -3.7448101e+00 -6.1929364e+00
 -5.4335890e+00 -3.6754222e+00 -2.9144366e+00 -1.7368174e+00
 -3.0542502e+00 -7.7986342e-01 -2.8536174e-01 -1.7779535e+00
 -1.2023331e+00 -3.6856947e+00 -2.7019231e+00 -1.3708204e-01]"	cat
"[-2.3928500e+02  1.4234201e+02 -4.6119530e+01  2.1392952e+01
 -1.0931287e+01  2.4084560e+01  3.8044727e+00  2.6539717e+00
  8.1514463e+00 -1.2469130e+00  5.3983817e+00 -5.3075614e+00
  4.4223747e+00 -3.8732479e+00  5.2626891e+00  5.9114032e+00
  3.8348560e+00  4.8313627e+00 -1.9157683e+00  5.7947245e+00
  3.3968899e-01  4.3440189e+00  3.9613169e-01  5.0362682e-01
  3.7302058e+00 -8.0912173e-01  2.8958290e+00  7.3408729e-01
  3.7904038e+00  2.5735559e+00  1.8332115e+00  6.3805044e-01
  9.4829530e-01  3.0513134e+00 -4.7110403e-03  6.7429340e-01
 -1.6254740e+00  3.3225760e-01 -4.8866910e-01 -2.0650983e+00]"	cat
"[-396.243       92.21633    -63.721874   -24.095383    13.140373
  -18.155363   -17.086761    -8.1741295  -14.693272    -8.540122
  -10.783933   -17.313042    -6.3544555    1.3704743    5.7841115
   11.55002      3.320086   -10.227571   -12.296144    -2.8749123
    8.028864     8.599636    -2.7333035   -8.841971    -1.3771471
    3.640115     2.0762134    3.631823    11.512852    16.861158
    5.6675105   -8.932201    -5.494151     2.8284466    1.2756703
    1.7773356    3.8552275   -4.3098145  -10.613238    -4.913406 ]"	cat
